timestamp,open,high,low,close,volume,symbol
2024-06-25 00:00:00,60262.16,60310.23,60217.36,60275.55,31.93172974,BTC/USD
2024-06-25 00:05:00,60280.2,60316.03,60251.23,60285.38,33.8188173,BTC/USD
2024-06-25 00:10:00,60285.25,60286.22,60228.83,60228.83,24.36105669,BTC/USD
2024-06-25 00:15:00,60231.05,60448.86,60225.02,60412.37,32.45220349,BTC/USD
2024-06-25 00:20:00,60412.9,60536.17,60306.33,60341.58,133.70903129,BTC/USD
2024-06-25 00:25:00,60341.58,60373.2,60312.32,60347.99,24.8425401,BTC/USD
2024-06-25 00:30:00,60347.99,60373.2,60285.37,60368.32,29.05438882,BTC/USD
2024-06-25 00:35:00,60367.91,60403.1,60300.98,60304.43,21.17461615,BTC/USD
2024-06-25 00:40:00,60304.42,60365.32,60272.23,60354.22,21.48879125,BTC/USD
2024-06-25 00:45:00,60354.23,60414.8,60312.94,60383.88,25.2522911,BTC/USD
2024-06-25 00:50:00,60393.35,60624.74,60383.88,60615.15,50.39706658,BTC/USD
2024-06-25 00:55:00,60615.15,60628.92,60361.27,60377.9,42.48985157,BTC/USD
2024-06-25 01:00:00,60377.9,60410.42,60301.89,60341.24,32.07647955,BTC/USD
2024-06-25 01:05:00,60341.24,60363.77,60300.0,60328.98,21.24719309,BTC/USD
2024-06-25 01:10:00,60328.75,60481.1,60328.75,60427.04,19.45700599,BTC/USD
2024-06-25 01:15:00,60426.43,60434.09,60360.34,60360.85,19.58054602,BTC/USD
2024-06-25 01:20:00,60360.73,60401.57,60356.86,60377.08,15.10563536,BTC/USD
2024-06-25 01:25:00,60377.07,60383.45,60254.25,60297.15,27.77201102,BTC/USD
2024-06-25 01:30:00,60293.32,60307.11,60242.64,60271.69,23.22386868,BTC/USD
2024-06-25 01:35:00,60271.69,60342.43,60255.03,60340.71,20.33497685,BTC/USD
2024-06-25 01:40:00,60338.69,60415.64,60323.85,60353.28,21.24085717,BTC/USD
2024-06-25 01:45:00,60353.27,60360.8,60282.85,60318.39,20.02173719,BTC/USD
2024-06-25 01:50:00,60318.38,60359.33,60318.38,60343.75,19.27228651,BTC/USD
2024-06-25 01:55:00,60343.75,60469.91,60339.47,60464.31,27.34387964,BTC/USD
2024-06-25 02:00:00,60469.77,60563.96,60469.77,60532.34,35.62822089,BTC/USD
